tag,day,round,gamma,err,ratio
no noise,2,1,0.0,0.28787590569656885,0.732076484013267
no noise,2,2,-1.5,1.212124094303431,1.4956999430197846
no noise,2,3,-0.75,0.46212409430343115,1.340215488026999
no noise,2,4,-0.375,0.08712409430343115,1.075765437641364
no noise,2,5,-0.1875,0.10037590569656885,0.9086015695489303
no noise,2,6,-0.28125,0.006625905696568846,0.9940855521757485
no noise,2,7,-0.328125,0.040249094303431154,1.0354892432674914
no noise,2,8,-0.3046875,0.016811594303431154,1.0149175798573093
no noise,2,9,-0.29296875,0.005092844303431154,1.0045327393074477
no noise,2,10,-0.287109375,0.0007665306965688456,0.9993167659890488
no noise,2,11,-0.2900390625,0.0021631568034311544,1.0019266794096098
no noise,2,12,-0.28857421875,0.0006983130534311544,1.0006222016811972
no noise,3,1,0.0,0.27605675088405246,0.7468511321036319
no noise,3,2,-1.5,1.2239432491159477,1.2962185250484606
no noise,3,3,-0.75,0.47394324911594754,1.2877384207832498
no noise,3,4,-0.375,0.09894324911594754,1.079382906712326
no noise,3,5,-0.1875,0.08855675088405246,0.9226457177233462
no noise,3,6,-0.28125,0.00519324911594754,1.0043677808692517
no noise,3,7,-0.234375,0.04168175088405246,0.9642323140741728
no noise,3,8,-0.2578125,0.01824425088405246,0.9844962953442232
no noise,3,9,-0.26953125,0.00652550088405246,0.9944828981052413
no noise,3,10,-0.275390625,0.0006661258840524598,0.9994382751604501
no noise,3,11,-0.2783203125,0.0022635616159475402,1.001906289250598
no noise,3,12,-0.27685546875,0.0007987178659475402,1.0006730941119104
no noise,4,1,0.0,0.2709588294911648,0.7471518813338978
no noise,4,2,-1.5,1.229041170508835,1.3465826414881361
no noise,4,3,-0.75,0.4790411705088352,1.3064222865497648
no noise,4,4,-0.375,0.10404117050883521,1.0858176755661768
no noise,4,5,-0.1875,0.08345882949116479,0.9255451325964764
no noise,4,6,-0.28125,0.010291170508835212,1.0088653169883686
no noise,4,7,-0.234375,0.03658382949116479,0.9678949817227461
no noise,4,8,-0.2578125,0.013146329491164788,0.9885665862326876
no noise,4,9,-0.26953125,0.0014275794911647877,0.9987642533307859
no noise,4,10,-0.275390625,0.004431795508835212,1.0038270682588961
no noise,4,11,-0.2724609375,0.0015021080088352123,1.0012987057907452
no noise,4,12,-0.27099609375,3.726425883521234e-05,1.0000322375714739
no noise,5,1,0.0,0.32236963745870784,0.736998652070298
no noise,5,2,-1.5,1.1776303625412923,1.2541799675241454
no noise,5,3,-0.75,0.42763036254129216,1.226758687497672
no noise,5,4,-0.375,0.052630362541292164,1.036851078805273
no noise,5,5,-0.1875,0.13486963745870784,0.8964565597336537
no noise,5,6,-0.28125,0.041119637458707836,0.9697319224521749
no noise,5,7,-0.328125,0.005755362541292164,1.0041359859098364
no noise,5,8,-0.3046875,0.017682137458707836,0.9871363658625129
no noise,5,9,-0.31640625,0.005963387458707836,0.9956879115673494
no noise,5,10,-0.322265625,0.00010401245870783615,0.9999250204883068
no noise,5,11,-0.3251953125,0.002825675041292164,1.0020337881249626
no noise,5,12,-0.32373046875,0.0013608312912921638,1.0009802234253642
no noise,6,1,0.0,0.311942712573562,0.7357092378290385
no noise,6,2,-1.5,1.188057287426438,1.297045478808923
no noise,6,3,-0.75,0.438057287426438,1.2508184146816386
no noise,6,4,-0.375,0.06305728742643801,1.0466390236428194
no noise,6,5,-0.1875,0.12444271257356199,0.8999909482810059
no noise,6,6,-0.28125,0.030692712573561987,0.9762459268420837
no noise,6,7,-0.328125,0.016182287426438013,1.012255013411445
no noise,6,8,-0.3046875,0.007255212573561987,0.9944442535143606
no noise,6,9,-0.31640625,0.004463537426438013,1.003399290172065
no noise,6,10,-0.310546875,0.0013958375735619866,0.9989340372010729
no noise,6,11,-0.3134765625,0.0015338499264380134,1.001169748789882
no noise,6,12,-0.31201171875,6.900617643801343e-05,1.0000526619358288
no noise,7,1,0.0,0.36886248338332817,0.7436915695890572
no noise,7,2,-1.5,1.131137516616672,1.1287930810254652
no noise,7,3,-0.75,0.38113751661667183,1.1466926825058614
