day,delta_gamma,converged,iters,gmv,lag_loss
2,0.0,True,6,0.0,3.86593077277328
2,0.02,True,6,-1.7909985748805122,3.5785706530917936
2,-0.02,True,6,1.773190856397461,4.422441315345129
2,0.05,True,6,-4.507838369143085,3.6483800930827592
2,-0.05,True,6,4.396600309576699,5.7645517853172334
2,0.1,True,6,-9.104999410748732,5.080829400125976
2,-0.1,True,6,8.660904934133018,9.359363949406616
2,0.2,True,6,-18.477456871421158,12.696271797872958
2,-0.2,True,7,16.71468154523537,21.61667101608866
3,0.0,True,7,-1.3310694294544134e-14,6.317595110661686
3,0.02,True,7,-1.700847850207714,5.745417612198495
3,-0.02,True,7,1.6706527418977708,7.199026958643562
3,0.05,True,6,-4.304845721527831,5.465732036811997
3,-0.05,True,7,4.116310252440018,9.10043882825607
3,0.1,True,6,-8.769912116721901,6.529179980410332
3,-0.1,True,7,8.018385318377984,13.803498604764785
3,0.2,True,6,-18.058434474753813,14.210607276950839
3,-0.2,True,8,15.093377511638787,28.799153420339437
4,0.0,True,7,0.0,5.571860627239676
4,0.02,True,7,-1.74409128303528,5.079617406240404
4,-0.02,True,7,1.7158388422581823,6.3658857620045275
4,0.05,True,6,-4.409506942484751,4.9058237073373725
4,-0.05,True,7,4.233099502155126,8.122339751761952
4,0.1,True,6,-8.968527348507516,6.109108171698136
4,-0.1,True,7,8.265319492974752,12.548270938328885
4,0.2,True,6,-18.418799842817357,13.944261185303205
4,-0.2,True,7,15.644033555910678,26.874445059628183
5,0.0,True,6,-1.3274325143788136e-14,8.448982678473216
5,0.02,True,6,-1.4567115250984322,7.700395791905005
5,-0.02,True,6,1.426251080533418,9.489538490036788
5,0.05,True,6,-3.6964434828215116,7.127224548458038
5,-0.05,True,6,3.506229651883728,11.594168588218954
5,0.1,True,6,-7.565078120070142,7.640043837976252
5,-0.1,True,6,6.806555832160578,16.53201304226841
5,0.2,True,5,-15.736950718255455,14.113142077873038
5,-0.2,True,7,12.739632155252224,31.571352493006106
6,0.0,True,6,0.0,6.580958128289786
6,0.02,True,6,-1.5404768153504838,5.986390651196089
6,-0.02,True,6,1.511817369965502,7.4670150238572175
6,0.05,True,6,-3.902247063866148,5.642069868513566
6,-0.05,True,6,3.7232776601044315,9.340276940260534
6,0.1,True,6,-7.963826329005944,6.525663452984943
6,-0.1,True,6,7.2501138294409655,13.898349879566313
6,0.2,True,5,-16.477560578644635,13.668888539453366
6,-0.2,True,7,13.656849845441592,28.23142402260098
7,0.0,True,7,-2.1828775263069164e-14,15.334332531128256
7,0.02,True,7,-1.1317833226263392,13.977707125731083
7,-0.02,True,7,1.096938800837463,16.968322133010332
7,0.05,True,7,-2.8935706003342476,12.47091275368557
7,-0.05,True,7,2.675977249250115,19.93015511619278
7,0.1,True,6,-5.995355470612397,11.393281220223772
7,-0.1,True,7,5.127614747834322,26.18898376693798
7,0.2,True,6,-12.773162661116627,14.718456842081348
7,-0.2,True,7,9.343773758737353,43.350760335006335
8,0.0,True,9,-1.5499641203346965e-14,79.18262390155755
8,0.02,True,9,-0.2220130665022213,74.28134119185287
8,-0.02,True,9,0.18961597132756808,84.26322167712897
8,0.05,True,8,-0.6174879040873752,67.28643386440463
8,-0.05,True,9,0.4150709066508785,92.19972108202809
8,0.1,True,8,-1.4493127589648298,56.6599244747107
8,-0.1,True,9,0.6405746812022328,106.19158248637771
8,0.2,True,8,-3.796853238745861,39.80846625487875
8,-0.2,True,10,0.5769984417960564,136.54047423721423
9,0.0,True,7,-2.3989362178764286e-14,11.151148362866643
9,0.02,True,7,-1.1898623779211401,10.18346151842348
9,-0.02,True,7,1.1604959292134125,12.379654405241457
9,0.05,True,7,-3.0282817817308523,9.225785871275194
9,-0.05,True,7,2.8448827189437984,14.705619568433393
9,0.1,True,6,-6.229217030427247,8.960134632670792
9,-0.1,True,7,5.497631883531326,19.84418723174112
9,0.2,True,6,-13.09666805368457,13.452629069463946
9,-0.2,True,8,10.20209586580267,34.62950646849693
