day,n_products,R_observed,R_target,mu_lagrangian,gamma_star_tuned,uniform_m_tuned,pi_unc_BN,R_unc_BN,pi_cbn,R_cbn,pi_gamma0,R_gamma0,pi_gamma_tuned,R_gamma_tuned,pi_uniform_tuned,R_uniform_tuned,gap_gamma0_vs_cbn,gap_gamma_tuned_vs_cbn,gap_uniform_tuned_vs_cbn,gamma_beats_uniform_constrained,gamma0_violates_floor,gamma_tuned_meets_floor,uniform_tuned_meets_floor,time_cbn,time_gamma_tuned,time_uniform_tuned
1,311,2070003.2200000002,2380503.703,0.7298656748761305,-0.5064647371187553,0.02775695153416865,855441.1445141392,1694969.2984591823,636841.7777067476,2380503.7029794715,789609.51421795,1893093.5435665024,285974.3936930582,2380502.616648445,66075.5259105672,2380503.702981524,0.0,0.5509490681926595,0.8962449885927652,True,True,True,True,0.20914596900001925,0.0016177100005734246,6.686999950034078e-05
2,305,876209.98,1007641.477,0.4721187302610788,-0.2887644102323685,0.20507439777555247,310499.5112555152,680929.365046341,236651.97698318178,1007641.4783568014,306711.2099168878,737670.6296280955,227541.9475314031,1007655.1325977194,206641.4690956825,1007641.4771279503,0.0,0.03849547156931678,0.12681283406152172,True,True,True,True,0.17392844099958893,0.0008957200006989297,6.375999873853289e-05
3,316,1114080.23,1281192.2644999998,0.5093768798067784,-0.2760453796104447,0.20150347775899474,397646.245911659,866694.1132768654,298498.23063291353,1281192.2644988499,390014.9066306064,956859.8931840851,279647.81040224165,1281179.9826549715,258164.7036401624,1281192.297578786,0.0,0.0631508608634056,0.13512149437948398,True,True,True,True,0.20103166900116776,0.0009545699995214818,6.423999911930878e-05
4,312,1029190.1,1183568.615,0.4910665401670139,-0.2709556383539246,0.20421521433312276,364157.0587856044,802289.745515817,275821.74586455774,1183568.5324674495,357613.05421870586,884305.5173812233,260455.19191143106,1183565.3474963126,241702.72094174215,1183568.6274944656,0.0,0.0557119015578722,0.12369954666145044,True,True,True,True,0.17784505100098613,0.0009827199992287206,5.929000144533347e-05
5,319,1117132.6,1284702.49,0.5875930479640297,-0.32712618201304483,0.19171189567857805,404816.17063340644,859562.2206778476,289297.59455062385,1284702.4898601077,396809.95279784565,946824.0034476378,265463.1928171345,1284701.4674470518,246292.68273176436,1284702.1404696547,0.0,0.08238714107012253,0.1486528496224123,True,True,True,True,0.205112638999708,0.0009400199996889569,5.919999966863543e-05
6,322,1130830.1900000002,1300454.7185000002,0.561741457899195,-0.3150909468775173,0.1968076345340537,405792.2904159018,869363.1687333713,292999.254876139,1300454.7184734016,398958.9626497767,956756.5497850069,274288.0702553215,1300459.5607186018,255939.43964603072,1300454.833736368,0.0,0.06386086076815231,0.1264843326846505,True,True,True,True,0.21098881799844094,0.0009365500009153038,5.9350000810809433e-05
7,335,1358681.94,1562484.231,0.6981842565382539,-0.376568066364169,0.1717428943040686,517409.9679917438,1044695.810794477,354453.97332577355,1562484.2446736323,503596.4051221887,1162006.3502103493,301220.7611905149,1562487.2707436697,268345.5641244303,1562484.2309302639,0.0,0.15018370829865907,0.24293255452437051,True,True,True,True,0.22568187800061423,0.0010295699994458118,6.586000017705373e-05
8,337,1913487.05,2200510.1075,0.9885180504273322,-0.5741008360448152,0.08482542724586756,797694.4758066866,1487443.94944172,501850.61690169625,2200510.118214888,758096.2606365063,1681758.7678082008,270770.6711528782,2200514.7381269024,186659.20859650863,2200510.09062972,0.0,0.4604556375270583,0.6280582262727956,True,True,True,True,0.2625728559996787,0.0012898699987999862,6.772000051569194e-05
9,332,1236313.1,1421760.065,0.7049665983469381,-0.38922377114661016,0.17411641069842326,480195.6933533498,944973.2884573031,327698.66699722974,1421760.138173013,470451.39875897986,1042971.8689219401,292360.8567795431,1421763.251286395,247551.75939158982,1421760.0649967429,0.0,0.1078362952815593,0.2445750186903185,True,True,True,True,0.22097712800132285,0.001065559999915422,6.598000072699506e-05
10,324,686497.7,789472.3549999999,0.515509282944424,-0.3772563406238497,0.20064899918030124,248837.3143713443,519706.19745596993,181284.38433412934,789472.4468433168,247819.0316272327,547001.0990811505,178508.8708291945,789477.1730364133,158406.83852899435,789472.3580786542,0.0,0.015310273497243065,0.12619700196001915,True,True,True,True,0.17699068100046134,0.0008352400000148918,5.310000051395036e-05
11,323,713559.1900000001,820593.0685,0.47742352331861787,-0.34823412127510217,0.20444647375952166,257061.85820331238,545216.409215644,192841.61251486087,820593.0793198949,256034.02317112833,574683.9739836648,190246.07435163404,820576.6663169219,167767.41522531994,820593.3423075562,0.0,0.013459429888488443,0.13002482691648642,True,True,True,True,0.17696317999980238,0.0008466599992971169,5.2409999625524506e-05
12,331,851296.8,978991.32,0.5554481369324825,-0.36954934124166233,0.1968951078370483,310488.26142248354,645702.1560047528,222180.78925862632,978991.3227634463,308408.58667112404,689840.8622494206,216542.60909952843,978994.7735545464,192758.60172553034,978991.3210289542,0.0,0.02537654212999867,0.13242453423300923,True,True,True,True,0.2018497990011383,0.0009147400014626328,5.994000093778595e-05
13,337,1007017.0300000003,1158069.5845,0.6495088223688512,-0.431032296273611,0.18507614835268282,377034.0512879444,755321.5786150385,254267.95979490437,1158069.552368518,373857.265440069,807852.2981848579,242345.5184832383,1158085.7678934443,214331.06305034077,1158069.6105794762,0.0,0.046889279016054004,0.15706617843938017,True,True,True,True,0.20851534899884427,0.0009467700001550838,6.0009999288013205e-05
14,341,887748.6500000001,1020910.9475000001,0.5876611449904217,-0.39313409723938125,0.1921635635991073,329098.907496049,670243.9509350272,231124.68550508175,1020910.95319773,326776.32585892227,715515.6176112421,224091.9933256492,1020907.1673915866,196181.88639124774,1020910.9506343439,0.0,0.030428130876906778,0.15118592389849125,True,True,True,True,0.2135399189992313,0.0008675389999552863,5.9949999922537245e-05
15,334,862822.3099999998,992245.6564999997,0.5482700551100309,-0.36669950384151767,0.1957084163173705,319335.32172492583,655922.1605068252,230981.74963646437,992245.6570234335,317089.1294539621,700608.5605922312,224218.90147651813,992248.3265304759,194190.82616679027,992245.6571917726,0.0,0.029278712151891196,0.1592806510799156,True,True,True,True,0.20332918900021468,0.0008535100005246932,5.982000038784463e-05
16,339,866645.4500000001,996642.2675,0.5702613645721133,-0.38451839626992973,0.1931705534903809,320631.98886317876,656335.0592291811,228004.8934384399,996642.268945706,318327.9802373128,700282.5847692327,220388.9426741015,996648.3241141201,192521.9389131016,996642.2699238596,0.0,0.0334025759249534,0.1556236534674135,True,True,True,True,0.21177285900012066,0.0008721699996385723,6.00200000917539e-05
17,336,730210.4199999998,839741.9829999997,0.49351923780867823,-0.3544706418492276,0.20208479829818457,266261.08596201026,557163.1537152549,198349.6212213269,839742.0186628003,265078.94804454915,588377.9991270778,195245.70519509818,839742.09602684,169699.098832111,839742.0303812901,0.0,0.0156487116391578,0.14444455307150017,True,True,True,True,0.18772016000002623,0.0008613999998487998,5.245000102149788e-05
18,332,659103.02,757968.473,0.5052242562135986,-0.37174953512594133,0.20125319284095308,242105.26659540777,500325.74743409996,178617.34166317334,757968.4844137189,241212.57503440144,526184.5349605925,176197.1952083287,757959.7722905576,152543.58775085394,757968.535045337,0.0,0.013549336432340542,0.14597548966711102,True,True,True,True,0.18368457999895327,0.000851400000101421,5.28900000063004e-05
19,340,771484.15,887206.7725,0.4933367265143828,-0.3220204005171865,0.20200011938710266,282233.71108511346,593698.1840329327,212432.61073454484,887206.7725686436,280027.4249730004,637058.4348314495,207370.44046996886,887209.0215590042,179215.89192927102,887206.8614268041,0.0,0.023829534679596122,0.15636355779095204,True,True,True,True,0.20725616900017485,0.0009812400003283983,5.30400011484744e-05
20,339,714900.15,822135.1725,0.4831302391198285,-0.3341975229576467,0.20195414380071855,262826.50801593263,549240.2809705437,198699.3105536439,822135.269704108,261384.93625160767,583886.8666033692,195649.58580809232,822119.1511860377,166033.61207621533,822135.208278032,0.0,0.015348441507190029,0.1643976437885508,True,True,True,True,0.19010533999971813,0.0008909899988793768,5.256000076769851e-05
21,344,920955.3500000001,1059098.6525,0.5425432078652591,-0.35421721974611964,0.19567360945130774,338455.442019339,702981.6166893265,246247.00074351474,1059098.6615732613,335618.4126030602,753943.5107150992,238678.24766566156,1059114.9502211388,207237.6564834191,1059098.6544610607,0.0,0.03073642746916792,0.15841551020849545,True,True,True,True,0.21099018800123304,0.0009551399998599663,5.9369998780312017e-05
22,343,975730.7399999999,1122090.3509999998,0.5439342747580227,-0.33882809722049184,0.19286241211979266,368048.78330902447,751126.4099758185,272016.76534001186,1122090.375804139,364620.46633966663,810977.466561857,264276.8790172208,1122081.9759076817,216409.05259026296,1122090.3555631402,0.0,0.028453710612713335,0.20442752004730708,True,True,True,True,0.2132154190003348,0.001059210000676103,5.9750000218627974e-05
23,350,1293906.4599999997,1487992.4289999995,0.7393704766629311,-0.39340940222039955,0.15851543184830613,554472.2056092895,1002372.6557770808,391220.6530195003,1487992.4422239955,545225.5196547394,1103971.8702370161,368209.3696395073,1487992.0630247444,235869.73111048495,1487992.231167778,0.0,0.058819193727090886,0.3970928444344474,True,True,True,True,0.25862330599920824,0.0014204800008883467,6.03300013608532e-05
24,350,967883.11,1113065.5765,0.5529361253443654,-0.35389025592527285,0.19343015659226404,359539.4061508032,738922.9539912016,260968.25295800282,1113065.600523538,356481.19642763026,795452.081528581,253871.63025580617,1113047.8153669932,215300.44937304631,1113065.5796700986,0.0,0.027193433000981523,0.17499371309469489,True,True,True,True,0.2188256179997552,0.0008953699998528464,5.9669999245670624e-05
25,348,1202171.0699999998,1382496.7304999996,0.6248665060616264,-0.3552215333643796,0.18620934142649886,444440.56118799705,918511.57676833,310516.5193395861,1382496.7296242218,437308.1256952332,1007821.5076906782,288791.08529631473,1382475.068723297,257433.73737634663,1382496.3635240693,0.0,0.06996546943614311,0.17094994519498408,True,True,True,True,0.2352466469983483,0.0009752499991009245,5.966000026091933e-05
26,347,1254831.8,1443056.5699999998,0.7428232778685998,-0.4471198396819085,0.17217288094368413,474302.7029427349,945358.98754894,306949.47631807055,1443056.5150400973,464980.1523571848,1033904.6727350939,261460.56870087574,1443072.8540225686,248455.20701992814,1443056.5699902247,0.0,0.14819672658459856,0.1905664410957614,True,True,True,True,0.23663101800048025,0.0009463589994993526,6.680000115011353e-05
27,363,1520320.79,1748368.9085,0.8533029166024712,-0.5037032719558349,0.1550845422385304,588256.6196070557,1142951.5106454964,359668.10279568145,1748368.908519948,577427.1387033862,1247923.4585069907,304867.6951065707,1748371.3333274259,271144.9918343409,1748368.9084712374,0.0,0.15236382449027314,0.24612444159839308,True,True,True,True,0.2969949039998028,0.0010674599998310441,6.781999945815187e-05
28,351,1840120.65,2116138.7474999996,0.7310141515412771,-0.4147903692784378,0.1548459408072369,706413.8408634026,1417341.1807479956,476524.67863336584,2116138.7494577416,686660.7880122808,1572289.9717037082,384757.48887616093,2116142.9729641224,327675.4951321851,2116138.7468341747,0.0,0.19257594385328744,0.312364060405157,True,True,True,True,0.2622202960010327,0.0010332000001653796,6.656999903498217e-05
29,348,1427503.02,1641628.473,0.7940857015143656,-0.45691905452334153,0.1646707029482303,539847.8197054234,1076578.4090533261,340363.58876104053,1641628.4608782425,527617.4348678383,1186719.0204340701,281124.4640837288,1641628.8871905338,270328.1146159527,1641628.4729223468,0.0,0.17404659791298013,0.20576664619157517,True,True,True,True,0.2536052169998584,0.001025429999572225,6.68399989081081e-05
30,352,1363320.3599999999,1567818.4139999996,0.8157903941856959,-0.4660217666254721,0.16335133505694738,518755.3038935587,1025838.2270609016,322636.3256448377,1567818.3475292486,508566.5696125447,1127042.4797924086,275364.2624032397,1567818.7189088822,256105.23104858884,1567818.4139683081,0.0,0.14651810563214657,0.20621079930561553,True,True,True,True,0.2605191359998571,0.0009528400005365256,6.675999975414015e-05
31,347,1413420.8399999999,1625433.9659999998,0.7361791748199691,-0.433980198883797,0.17234878019963124,531806.3453969578,1066258.0939813305,345154.8714419973,1625433.838160671,522846.58178316965,1164506.8827898444,306373.0436216862,1625438.325960411,280141.5613344291,1625433.9659958228,0.0,0.1123606561260089,0.18835982188503922,True,True,True,True,0.23777639800027828,0.0009441799993510358,6.796999878133647e-05
