day,n,newton_ok,gap_gamma,gap_MS,gap_uniform,iter_gamma,iter_MS,iter_unif,iter_newton,t_gamma,t_MS,t_unif,t_newton,ebar_obs,ebar_FI,ebar_gamma
1,311,True,0.0769563525420316,4.082641660627208e-16,0.07805135511463274,9,125,9,2,0.0001239159992110217,0.01348670800052787,0.00016179199974430958,0.0037310419993445976,0.3333263890335619,0.1407843626029991,0.24574619534224026
2,305,True,0.01220066763812073,1.8746458143558025e-16,0.04153031262378139,6,124,11,2,6.320800002868054e-05,0.012733542000205489,0.00016041700018831762,0.0032343339998988085,0.1282369117310056,0.07405726133368898,0.09420384678407542
3,316,True,0.01919127706979022,0.0,0.04456596176751046,7,126,11,2,7.316699975490337e-05,0.013570000000072469,0.00015433299995493144,0.0033484169998700963,0.1526947355263432,0.08978629014461434,0.12115419386919317
4,312,True,0.017970280704489583,1.5984218761975683e-16,0.043311517499083414,6,124,11,2,6.487499922513962e-05,0.013102249999974447,0.00016208299985009944,0.003320249999887892,0.14829899377096312,0.08889422044842606,0.11858688771289716
5,319,True,0.019777416062786202,0.0,0.04109951518668531,7,124,10,2,8.779200015851529e-05,0.01398179199986771,0.000141375000566768,0.003463082999587641,0.16354867606924858,0.09104975923786456,0.12313602052003841
6,322,True,0.016839471639841817,0.0,0.04088918789163056,7,126,10,2,7.5916999776382e-05,0.014164332999826001,0.00015174999953160295,0.003373999999894295,0.15194475115101772,0.08884844202282895,0.11717024128544296
7,335,True,0.02669751980846208,0.0,0.057952497111054255,7,126,11,2,8.65419997353456e-05,0.01520354199965368,0.00016704099925846094,0.0036939999999958673,0.1976000499989584,0.10266985993736084,0.1454397515163884
8,337,True,0.04964082912839021,2.918794735520944e-16,0.07750708224121418,8,126,9,2,8.675000026414637e-05,0.015538749999905122,0.00013420800041785697,0.0036524580000332207,0.27369221474552613,0.12591583133837664,0.20045952739848202
9,332,True,0.020292340662871482,0.0,0.0693414757618831,7,126,11,2,7.58339992898982e-05,0.014933124999515712,0.00015341600010287948,0.0035572499991758377,0.17391304347826086,0.08998086994346721,0.1233893709561719
10,324,True,0.004092162570891865,2.339185385460441e-16,0.04203035093210271,6,126,10,2,6.483299966930645e-05,0.014284500000030675,0.0001413749996572733,0.003523583000060171,0.08481073310972688,0.047403355432263,0.054719833268046025
11,323,True,0.003998395714431679,0.0,0.04642681829696816,6,126,10,2,6.633300017711008e-05,0.014521541000249272,0.00014683300014439737,0.0035701249998965068,0.08606070706860273,0.04907241978339533,0.056398090322851285
12,331,True,0.006698078509736881,0.0,0.04506380308376109,6,126,10,2,6.604200007132022e-05,0.01519112500045594,0.00014083299993217224,0.0035864579995177337,0.1091748088581488,0.061489939492927664,0.07349845455432923
13,337,True,0.008425726634036053,-3.087660688186154e-16,0.043788333143131054,7,126,10,2,7.737499981885776e-05,0.01591604199984431,0.00014241699955164222,0.0036435839992918773,0.11915376762984105,0.06311639958891421,0.07785908890654686
14,341,True,0.007057396983776278,0.0,0.04772225414990881,6,126,10,2,6.508299975394038e-05,0.01595274999999674,0.00014379200001712888,0.0037337500007197377,0.11027895252182247,0.06020642174789004,0.07272402554607978
15,334,True,0.0070339612255566975,1.822775526335519e-16,0.053177899188408186,6,126,10,2,6.687499990221113e-05,0.015302499999961583,0.00014187499982654117,0.0035663329999806592,0.10861232057665465,0.06003060056541351,0.07253512558247428
16,339,True,0.007185835181433338,-1.8154040437401894e-16,0.04837322172743185,6,126,10,2,6.587499956367537e-05,0.01590529199984303,0.00016695799968147185,0.004287542000383837,0.11131018103789504,0.060381107954553336,0.07310804761477296
17,336,True,0.004439769759031608,-2.1861122027336884e-16,0.05111097597577442,6,126,10,2,7.4667000262707e-05,0.01627366700085986,0.00017691700031718938,0.003788084000007075,0.08925855711339349,0.05003126929626398,0.058091943754822635
18,332,True,0.00368720422136931,1.2021147191882582e-16,0.05373308128034556,6,126,10,2,6.845799998700386e-05,0.015061541999784822,0.0001577079992785002,0.003576375000193366,0.08006083206599864,0.045274272691034644,0.05204714456971993
19,340,True,0.007817230987859169,0.0,0.05757028050641211,6,126,11,2,6.729200049448991e-05,0.015242874999785272,0.0001622079998924164,0.0036239999999452266,0.1100706235286765,0.06331224023285317,0.07716950379764588
20,339,True,0.005484879646301041,-2.2146799937675555e-16,0.05888452416296007,6,126,10,2,6.57499995213584e-05,0.015289999999367865,0.00014170800022839103,0.0036637499997596024,0.09915418428782734,0.05568416875828132,0.06554845374413884
