day,n_products,ebar,S_inside,pi_BN,pi_gamma,pi_MS,pi_uniform,gap_gamma,gap_MS,gap_uniform,iter_gamma,iter_MS,iter_uniform,iter_BN,time_gamma,time_MS,time_uniform,time_BN
1,311,0.3333263890335619,0.33333333333333337,839226.4311067875,793580.1207601889,839226.4311067873,670318.8953657368,0.05439093509769397,2.77434831678035e-16,0.20126574840867714,9,119,11,3,0.00011441700007708278,0.014157459001580719,0.00018866599930333905,0.007841541999368928
2,305,0.1282369117310056,0.12824599231274023,315007.6687852705,312153.97503244714,315007.6687852704,274804.35832467885,0.009059124699496128,1.8478172654630037e-16,0.12762644990715066,6,120,11,3,7.19580002623843e-05,0.01362275000064983,0.00019108300148218405,0.0084143749991199
3,316,0.1526947355263432,0.15270356134704122,401262.90338318265,396232.5432896895,401262.90338318265,349100.2674541529,0.012536319831911875,0.0,0.12999615835211523,7,119,11,3,8.433299990429077e-05,0.014673333000246203,0.00018658299995877314,0.007222750000437372
4,312,0.14829899377096312,0.1483078653792069,372879.6652268082,368736.4547780771,372879.6652268083,326185.2580336153,0.011111387493364624,0.0,0.12522647799737358,7,121,10,3,8.316699859278742e-05,0.014792792000662303,0.00019033399985346477,0.0077075839999452
5,319,0.16354867606924858,0.16355738883159904,405455.5014768591,399811.3691791793,405455.5014768591,354231.29873256356,0.013920472843804573,0.0,0.1263374218815948,7,119,10,3,8.166599945980124e-05,0.01382170800025051,0.0001561660010338528,0.007085291999828769
6,322,0.15194475115101772,0.15195358478380885,402522.328420159,397746.5913520131,402522.3284201589,355899.1462045632,0.011864527085714602,2.892145692484883e-16,0.11582756762484439,7,118,11,3,7.829199967090972e-05,0.01433237499986717,0.00018199999976786785,0.007462874998964253
7,335,0.1976000499989584,0.19760840807058114,501602.89331991907,491421.2638637663,501602.8933199191,435020.9102630995,0.02029818725479124,0.0,0.1327384350120844,7,119,11,3,7.983300019986928e-05,0.014663709000160452,0.0001696659983281279,0.007487040998967132
8,337,0.27369221474552613,0.2736997802152016,727415.5265408533,700588.9188180076,727415.5265408533,629433.813827284,0.036879344396753264,0.0,0.13469840708447733,8,119,11,3,0.00011362499935785308,0.014713124999616412,0.00016058399887697306,0.007338249999520485
9,332,0.17391304347826086,0.17392164828182452,446668.8223446164,440058.2203336303,446668.8223446164,394938.7650776198,0.014799783822578688,0.0,0.11581300211521263,7,121,11,3,7.779199950164184e-05,0.014655208000476705,0.00017695899987302255,0.0073545000013837125
10,324,0.08481073310972688,0.08482026603335312,237588.4640651616,236726.7042788406,237588.4640651616,213214.2385902588,0.0036271112308072645,0.0,0.10259010499860735,6,119,11,3,6.670800030406099e-05,0.01391700000021956,0.00019033400167245418,0.007369832999756909
11,323,0.08606070706860273,0.08607022697207378,248900.40355396486,248008.3318965737,248900.40355396495,222442.95298982007,0.003584050667068267,0.0,0.1062973389611579,6,120,10,2,7.787499998812564e-05,0.015483332999792765,0.00020066700017196126,0.003995625000243308
12,331,0.1091748088581488,0.10918408799725009,299069.6157244676,297226.5970543061,299069.6157244676,266563.7003665458,0.00616250723329734,0.0,0.1086901298187023,6,121,11,2,8.162500125763472e-05,0.01504075000048033,0.00018945800002256874,0.003968542001530295
