N,day,n_skus,S_inside,ebar,pi_BN,pi_gamma,pi_MS,pi_uniform,gap_gamma,gap_MS,gap_uniform,iter_gamma,iter_MS,iter_BN,time_gamma,time_MS,time_BN
200,1,136,0.33333333333333337,0.33332538281734486,2.6494450096482135e-22,695131.9252439913,756077.4635364404,690942.1515584628,-6.951319252439913e+19,-7.560774635364404e+19,-6.909421515584628e+19,10,125,500,0.00010679000024538254,0.0037351699993450893,0.11529095199966832
200,2,131,0.12488521579430673,0.12487477937318134,,266440.9164129617,269773.2883021372,256138.9800558376,,,,6,124,-1,6.217999998625601e-05,0.0035035000000789296,
200,3,139,0.15230224321133412,0.152292133759481,355482.29904892546,348097.4036838782,355482.29904892546,336089.8361887591,2.0774298424436815,0.0,5.455254146844982,7,125,142,7.146999996621162e-05,0.003921790000276815,0.2695403349998742
200,4,138,0.14886766126435547,0.14885751085245433,,319764.84530553897,326117.71945575025,308625.00282699167,,,,7,124,-1,7.069999992381781e-05,0.0037766999994346406,
200,5,142,0.15768070313524862,0.15767065782569292,,347220.6410618112,354256.2575915328,336630.0342976417,,,,7,124,-1,7.105000076990109e-05,0.00396863000059966,
200,6,143,0.15095464682241544,0.15094452129943237,368356.7663595369,361862.073923087,368356.76635953673,349232.6147205788,1.7631527447254065,4.740593866815531e-14,5.191747073893001,7,125,38,7.106999964889837e-05,0.004147159999774885,0.07324211099967215
200,7,146,0.19076240563843866,0.19075275485378998,449209.62014667137,437449.3402448313,449209.62014667137,420573.1351378307,2.617993777159144,0.0,6.374860137565751,7,125,28,6.998000026214868e-05,0.004178391000095871,0.051216150999607635
200,8,144,0.2685652272429132,0.2685565043171302,704342.0894703169,669430.1964042351,704342.0894703169,646118.6792391995,4.95666716330078,0.0,8.26635396372562,8,125,32,7.999999979801942e-05,0.004096429999663087,0.05699768099930225
200,9,145,0.16990447568959965,0.16987477638640427,,413541.7421831787,422082.0648821601,390141.0093614379,,,,7,125,-1,6.995999956416199e-05,0.004175469999609049,
200,10,142,0.07869724398650019,0.0786862567380623,213226.47484697416,212495.2865249161,213226.47484697422,203147.90249536975,0.34291629244577365,-2.729851485620685e-14,4.7266983890426735,6,126,20,6.381000002875226e-05,0.0040599700005259365,0.03629934999935358
200,11,142,0.08129703171025485,0.08128607546629775,221990.4624954723,221178.87543538102,221990.4624954723,209750.62280443314,0.3655954634122367,0.0,5.513678179434766,6,125,20,6.177999966894276e-05,0.0040092399995046435,0.03633409099984419
200,12,140,0.10278702014239205,0.10277632018317989,266185.82546178956,264552.15509413707,266185.8254617897,252305.79117750115,0.6137330433798783,-4.373460593740218e-14,5.214415253031895,6,126,19,6.184999983815942e-05,0.003930670000045211,0.03397731000040949
200,13,144,0.1114450288004007,0.11143443209464295,330019.06706313795,327511.5280530257,330019.06706313806,315007.72963805683,0.7598164046783695,-3.52753320779077e-14,4.548627313769482,7,126,22,7.079999977577245e-05,0.004159789999903296,0.03868494099970121
200,14,145,0.10099817537834067,0.10098745408577016,279770.10342487536,278095.9461001324,279770.1034248754,265686.6192388179,0.5984046559115215,-2.080553290037207e-14,5.0339489508174715,6,126,23,6.241000028239796e-05,0.004214769999634882,0.04268940099973406
200,15,139,0.09541697971450037,0.09540619186185183,262947.295198777,261590.50369014795,262947.29519877693,247907.56574023014,0.5159937118209823,2.2136626607801723e-14,5.7196745253368935,6,126,18,6.186000064190011e-05,0.003973799999585026,0.03165324000019609
200,16,141,0.10066425768905107,0.10065353241425368,270792.85092131613,269218.88720987464,270792.85092131613,257200.24271572972,0.5812427123117954,0.0,5.019559474831185,6,126,19,6.148000011307886e-05,0.004047209999953338,0.034056331000101636
200,17,145,0.08270425625797527,0.08269331679626007,223654.9698258911,222771.39429668037,223654.96982589108,210219.9085809783,0.39506188031438466,1.3012825281454818e-14,6.0070479343122125,6,126,24,6.146000032458687e-05,0.004222949999530101,0.044200751000062155
200,18,141,0.07198311330542737,0.07197204598578448,202510.26953845005,201899.60504498132,202510.26953845005,190748.88243519267,0.3015474202175166,0.0,5.807797861344645,6,126,17,6.15700000707875e-05,0.003969379999944067,0.029816530000061903
200,19,144,0.09476106996768155,0.09475027429280161,229467.4712707659,228247.81601332608,229467.47127076593,215621.72400834196,0.5315155349407499,-1.268320529073679e-14,6.033860566705905,6,125,23,6.044000019755913e-05,0.004095960000086052,0.04021457100043335
200,20,140,0.09245942303793545,0.09244859991413443,221418.28820566233,220351.56849885086,221418.28820566236,207068.5379885967,0.48176675714368444,-1.3144275792476943e-14,6.480833328336903,6,126,24,6.084000051487237e-05,0.00394661999962409,0.043851191000612744
200,21,143,0.11528508222723097,0.11527453131708246,298710.2332563408,296301.570707853,298710.23325634084,282310.8019527,0.8063542123181158,-1.9486329704518692e-14,5.490080177322701,7,126,20,6.974999996600673e-05,0.004095889999916835,0.03651607000028889
200,22,142,0.1251118027977532,0.1251013690788532,314876.5514398431,312173.23369650805,314876.5514398431,291967.37652510643,0.8585325680726348,0.0,7.275605252274058,7,126,21,7.221000032586744e-05,0.004030659999443742,0.03813179100052366
200,23,143,0.1708704518621874,0.1708506756031532,488806.2170395346,481426.1592135886,488806.2170395344,432911.0428391702,1.5098125941694227,3.5724378425055654e-14,11.435037495818838,9,126,19,8.728000011615222e-05,0.004130450000047858,0.03369788100008009
200,24,145,0.1164418685079842,0.11643133139340742,311384.2729740065,308998.0888207942,311384.27297400654,292809.7711875303,0.7663149234937388,-1.869319229180416e-14,5.96513806207121,6,126,23,6.249000034586061e-05,0.004188880000583595,0.04258904000016628
200,25,146,0.15425804682003028,0.15424796069264896,381936.44572737894,375784.31974278047,381937.6712564756,360574.8954723899,1.6107721725487751,-0.0003208725195987571,5.592959376868855,6,126,500,6.192999990162207e-05,0.004221580999910657,1.0307843560003676
200,26,142,0.1361668634395907,0.1361565615608453,387346.8536320299,383059.26045212196,387346.8536320299,369610.8562399285,1.1069131295903207,0.0,4.578841218354172,7,126,17,7.062000076984987e-05,0.0040012399995248416,0.030352830000083486
200,27,145,0.1645021645021645,0.1644922005438153,500725.3247655711,493227.36741859553,500725.324765571,481132.1442967773,1.497419238878312,2.3249337724517524e-14,3.912959760516785,8,127,25,7.935000030556694e-05,0.004234570000335225,0.044257659999857424
200,28,143,0.1944593514841449,0.1944209233264559,535193.8985163497,523659.4431026858,535193.8985163497,511887.4786599749,2.1551918745036978,0.0,4.354761876206789,7,126,25,8.354000055987854e-05,0.004165129999819328,0.04422022099970491
200,29,146,0.17405459554219888,0.17404474550398324,469401.32192633406,458962.9476455115,469401.3219263342,448954.7428941051,2.2237632902236983,-2.4800808261295132e-14,4.355884416413674,7,126,27,8.460000026389025e-05,0.00420994999967661,0.050692311000602785
200,30,147,0.1710731876021132,0.17106330200830033,455008.65741171484,446688.60399626364,455008.65741171484,435920.0558997795,1.8285483759318437,0.0,4.195217212023951,7,126,26,7.124999956431566e-05,0.0042698299994299305,0.0494071110006189
200,31,146,0.15479470024924571,0.1547846205218719,464275.3591373702,457739.6760588477,464275.3591373702,444090.7563067734,1.4077169830132465,0.0,4.3475498824878525,7,126,28,6.980999933148269e-05,0.004240979999849515,0.05000508099965373
500,1,311,0.33333333333333337,0.3333263890335619,4.111137226738439e-22,789609.51421795,855441.1445141392,788672.8039639982,-7.896095142179501e+19,-8.554411445141391e+19,-7.886728039639982e+19,9,125,500,0.00010023999948316487,0.01321242100038944,0.19854109300013079
500,2,305,0.12824599231274023,0.1282369117310056,0.006454160401658204,306711.2099168878,310499.5112555152,297604.36948354234,-4752147210.099196,-4810842704.212639,-4611046898.5698185,6,124,500,6.532000043080188e-05,0.012096720000045025,0.31409253499987244
500,3,316,0.15270356134704122,0.1526947355263432,,390014.90663060657,397646.245911659,379924.7585193659,,,,7,126,-1,8.74799998200615e-05,0.013465060000271478,
500,4,312,0.1483078653792069,0.14829899377096312,,357613.05421870586,364157.05878560443,348384.863961597,,,,6,124,-1,6.49800003884593e-05,0.013341560999833746,
500,5,319,0.16355738883159904,0.16354867606924858,404816.1706334064,396809.95279784565,404816.1706334064,388178.4222806429,1.9777416062786204,0.0,4.109951518668531,7,124,73,7.548000030510593e-05,0.013538180999603355,0.2990021240002534
500,6,322,0.15195358478380885,0.15194475115101772,405792.29041590175,398958.9626497767,405792.29041590175,389199.7732081108,1.6839471639841819,0.0,4.088918789163056,7,126,85,7.640999956493033e-05,0.013844731000062893,0.34829645499939943
500,7,335,0.19760840807058114,0.1976000499989584,517409.96799174394,503596.4051221887,517409.967991744,487424.7683164718,2.6697519808461974,-1.1249814366621596e-14,5.7952497111054155,7,126,115,7.440999979735352e-05,0.015106390000255487,0.5012320280002314
500,8,337,0.2736997802152016,0.27369221474552613,797694.4758066869,758096.2606365063,797694.4758066868,735867.5044669758,4.964082912839036,1.4593973677604717e-14,7.750708224121416,8,126,106,8.552999952371465e-05,0.015219400999740174,0.462822106999738
500,9,332,0.17392164828182452,0.17391304347826086,1109.3240931584967,470451.39875897986,480195.6933533498,446898.21532172785,-42308.83269915272,-43187.23195636399,-40185.63141086276,7,126,500,7.529999948019395e-05,0.014458760000707116,2.1015661139999793
500,10,324,0.08482026603335312,0.08481073310972688,248837.31437134437,247819.0316272327,248837.31437134437,238378.59472331486,0.4092162570891865,0.0,4.203035093210247,6,126,46,6.502999985968927e-05,0.014146829999845068,0.18314289299996744
500,11,323,0.08607022697207378,0.08606070706860273,257061.85820331238,256034.02317112839,257061.85820331235,245127.29402142618,0.39983957144317916,1.132172258465324e-14,4.642681829696827,6,126,61,6.620999920414761e-05,0.014248139999835985,0.26299892400038516
500,12,331,0.10918408799725009,0.1091748088581488,310488.26142248354,308408.58667112404,310488.26142248354,296496.4795499214,0.6698078509736881,0.0,4.506380308376109,6,126,52,6.507000034616794e-05,0.014950929999940854,0.22158534299978783
500,13,337,0.1191629428247034,0.11915376762984105,377034.0512879444,373857.265440069,377034.0512879445,360524.35864384344,0.8425726634036206,-1.543830344093077e-14,4.378833314313136,7,126,63,7.485000060114544e-05,0.015365209999799845,0.2750157450000188
500,14,341,0.11028822015978668,0.11027895252182247,329098.90749604907,326776.32585892227,329098.907496049,313393.56579206523,0.705739698377663,1.7686980900769536e-14,4.772225414990898,6,126,54,6.501999996544328e-05,0.01573655999982293,0.23872675399979926
500,15,334,0.10862160557482578,0.10861232057665465,319335.3217249259,317089.1294539621,319335.32172492583,302353.7401789398,0.7033961225556697,1.8227755263355188e-14,5.317789918840837,6,126,38,6.708999990223674e-05,0.015155109999795968,0.16748794300019654
500,16,339,0.11131943793423121,0.11131018103789504,320631.98886317876,318327.9802373128,320631.9888631788,305121.9865729927,0.7185835181433338,-1.8154040437401895e-14,4.837322172743203,6,126,45,6.589999975403771e-05,0.015216039999359054,0.19431811300000845
500,17,336,0.0892680437069675,0.08925855711339349,266261.08596201014,265078.94804454915,266261.08596201026,252652.2219941223,0.44397697590313906,-4.372224405467378e-14,5.111097597577421,6,126,49,6.539000060001854e-05,0.014843099999779952,0.2096094139997149
500,18,332,0.0800704144662146,0.08006083206599864,242105.26659540777,241212.57503440144,242105.26659540777,229096.20462703693,0.368720422136931,0.0,5.37330812803458,6,126,32,6.523999945784453e-05,0.014507109999613022,0.13232283199977246
500,19,340,0.11007989333666657,0.1100706235286765,282233.71108511346,280027.4249730005,282233.7110851135,265985.4371695778,0.7817230987858963,-2.0623922170627473e-14,5.75702805064121,6,126,38,6.562999988091178e-05,0.015118899999833957,0.15911415299979126
