market,mu_log_alpha,sigma_log_alpha,R_target,R_unc,mu_lagrangian,gamma_star_tuned,uniform_m_tuned,pi_unc,pi_cbn,pi_gamma0,pi_gamma_tuned,pi_uniform_tuned,R_cbn,R_gamma0,R_gamma_tuned,R_uniform_tuned,gap_gamma0_vs_cbn,gap_gamma_tuned_vs_cbn,gap_uniform_tuned_vs_cbn,gamma_beats_uniform_constrained,gamma0_violates_floor,gamma_tuned_meets_floor,uniform_tuned_meets_floor,time_cbn,time_gamma_tuned,time_uniform_tuned
0,1.0182703380778497,0.20997829142878865,0.22790726569064487,0.1823258125525159,0.9876513392914641,-1.291955675778703,0.27109658650471213,0.0852621043351412,0.06908186404294474,0.08295866676188583,0.04115536892958336,0.061784881857926806,0.22790726590046903,0.20198846040590898,0.2279071578638121,0.22790726602104552,0.0,0.40425219412146834,0.1056280441489211,False,True,True,True,0.0186485989997891,1.5234680579997075,0.0005542599992622854
1,1.0793950035993833,0.21970744913838736,0.1666477095041137,0.13331816760329096,0.5890760954892467,-0.34561299736194234,0.2851288440227402,0.05816390175555629,0.050043862657497946,0.05723738435682228,0.04427209577372363,0.047516068359923114,0.16664770979790214,0.14562854287213764,0.16664765554023198,0.16664770806608928,0.0,0.11533416041996003,0.05051157451364517,False,True,True,True,0.017533878999529406,0.8525172539993946,0.0004744199995911913
2,1.3595313908353222,0.17929538428043656,0.06374925482177429,0.05099940385741944,0.21081017798912505,-0.15087924687700277,0.23910605518817454,0.01700364699777364,0.015716170464532154,0.016961285894183786,0.015713226897229066,0.015242839354473361,0.06374925482705651,0.053356676703008296,0.06374921968548786,0.06374928206011919,0.0,0.00018729545532298697,0.03011745839274229,True,True,True,True,0.010865760001252056,0.12393913400046586,0.00034887999936472625
3,1.2987652699329943,0.15683336071927767,0.1823523169222812,0.14588185353782496,0.3351876728494453,-0.13050010563207495,0.25097693009560734,0.05379344440051885,0.048294896046699426,0.052757344596612674,0.04818623344252693,0.04576622310260586,0.18235231593981585,0.1622133089836277,0.1823514341817489,0.18235231056962747,0.0,0.0022499811174130357,0.052359009980028265,True,True,True,True,0.013805919001242728,0.13229050299923983,0.0003925200016965391
4,1.0059227758500657,0.2646639697769296,0.25283631810033963,0.2022690544802717,1.086141688662277,-1.4377761205505637,0.2595115829356468,0.09577322276726591,0.0766239308152746,0.0926983325265092,0.032567467609651984,0.06561395354510616,0.25283631815101454,0.22540281461819434,0.25283639220165277,0.2528363196851101,0.0,0.5749700222484564,0.14368849461288224,False,True,True,True,0.01855325900032767,1.2721650919993408,0.0005446899995149579
5,1.0836425989332938,0.11679617279129494,0.290730555254167,0.23258444420333363,1.0254922209126738,-0.773099144069465,0.23925626224895724,0.10229963852693562,0.0817628150823118,0.09830121347674584,0.04650176051987954,0.06955910589525428,0.29073055277790893,0.2615584178909309,0.29073078646807576,0.2907305549347535,0.0,0.4312602804457558,0.14925744881425457,False,True,True,True,0.014063499000258162,1.2689622519992554,0.0005387900000641821
6,1.2355889690235684,0.28508402065575034,0.09374389119820917,0.07499511295856734,0.42778707895790363,-0.25203077485450326,0.2882183974457048,0.03195307713546147,0.02838547282983549,0.0317384927656085,0.028360823631704748,0.027018714120403027,0.09374389059049343,0.07988453018706106,0.09374388997665768,0.09374389129858673,0.0,0.000868373702228212,0.048149936329258056,True,True,True,True,0.01654213899928436,0.150397081999472,0.0003940499991585966
7,1.3353645820987394,0.21671543312530972,0.1781187895918221,0.14249503167345767,0.4667853438276121,-0.16031964275536456,0.27663131178609524,0.05844422506984841,0.051294089880414576,0.05694516556149869,0.05117282031921466,0.04927322128412078,0.17811878861625985,0.15976133948850002,0.178118961512139,0.17811874211196033,0.0,0.0023642014408021897,0.039397688915139804,True,True,True,True,0.017853719000413548,0.12863731300058134,0.0004205700006423285
8,1.08423613579491,0.16118605404002,0.1349638678572804,0.10797109428582433,0.5161773361607216,-0.9979468756710209,0.2774742917092465,0.04566646353399441,0.03975421822084402,0.04527765883958573,0.02580822562357826,0.037449003639903236,0.13496386791566028,0.11548969776208105,0.13496427745162723,0.13496386785679032,0.0,0.35080535403293545,0.05798666617300265,False,True,True,True,0.013260739000543253,1.2676719920000323,0.0004241699989506742
9,1.2609425331395838,0.18538496096872625,0.2589669714400135,0.20717357715201082,0.6683273796181272,-0.17217812525475576,0.2600641384027181,0.08869920554821449,0.0750269851734143,0.08490718009869491,0.074272291637811,0.0673480223014729,0.25896697826622345,0.23607584431499615,0.2589688743720201,0.2589669714368008,0.0,0.010058961237199267,0.1023493460945094,True,True,True,True,0.017360468998958822,0.2567139259990654,0.0005372799987526378
