sigma,mkt,mis,S,ebar,regret_mcifi,regret_gamma
0.05,0,0.015337771357851072,0.21533997087755424,0.21473742374407337,1.774618261751737e-05,0.06136964303945025
0.05,1,0.012837858623026527,0.29132961638163724,0.29087388102113115,1.8089912440011346e-05,0.12378488128062348
0.05,2,0.013261361147280125,0.38616987154936117,0.38569557554426126,3.4758361265097015e-05,0.2396175330495839
0.05,3,0.012416015745197316,0.3008218577518282,0.30035502005422104,1.9625449471760703e-05,0.13214207762748353
0.05,4,0.013518107245754042,0.29136407113497315,0.29070362749554146,2.2477770777462602e-05,0.12522577356274767
0.05,5,0.007413016440404092,0.37452576527218634,0.3737119888051187,1.1834454678005812e-05,0.2239757430707756
0.05,6,0.012020873567697593,0.3114614505723517,0.31098211524559477,2.0662834152695986e-05,0.14847976246106143
0.05,7,0.010788613018168122,0.22323033558876193,0.22296635090126155,7.928691928116294e-06,0.06706982892018865
0.05,8,0.01655034291364626,0.21462050978881805,0.21406158713415338,1.746108939137958e-05,0.061381365718291
0.05,9,0.010301995226518666,0.3123320607949123,0.31135723218066186,1.643418180141687e-05,0.1461001873831984
0.05,10,0.018374231777069077,0.16555268073924953,0.16515811491496765,1.1367363461411983e-05,0.03448736334324398
0.05,11,0.010252490094258953,0.3573085517089121,0.3567857432450688,1.7101126121299437e-05,0.1996961069885962
0.15,0,0.0737082455666983,0.3729992567359903,0.372116159969877,0.0012775190697374983,0.2553631155142073
0.15,1,0.10367117133217206,0.2664121022035349,0.2657280323605849,0.0011969580552633197,0.12431731735949314
0.15,2,0.10948988290113582,0.3793460357449897,0.37879346623188015,0.002867334470187277,0.2785069832719964
0.15,3,0.07500541189918569,0.25761699727541965,0.2573977992286923,0.0005896756433352301,0.10845670836897192
0.15,4,0.09975712625182169,0.23634075765479814,0.23588426410176644,0.0008173534416574535,0.09083476838965232
0.15,5,0.08220514656673475,0.28219625130568454,0.2814470559207054,0.0008512226091640374,0.13438352910991658
0.15,6,0.07509958271387109,0.3279331619478347,0.3273151557394641,0.0008804735612936154,0.1822263745564512
0.15,7,0.12646347258233856,0.30950674700685854,0.3093295021820749,0.0026969829601382056,0.18600797942077152
0.15,8,0.12569458866624061,0.18254356177561423,0.18201287470837363,0.0007751271503293466,0.05460383608949926
0.15,9,0.07422017676045417,0.37628739149307433,0.37598042467840953,0.0013389057645826208,0.2586030725975288
0.15,10,0.14251795753024674,0.15324932006432235,0.1530670498664469,0.000664876970098649,0.03681900415887496
0.15,11,0.11823426518621949,0.2169082728727081,0.21662751958072188,0.000922241298961346,0.07806890396253574
0.25,0,0.23891290821570432,0.16719658445897045,0.16677617812590875,0.002939569408464182,0.05930637747491463
0.25,1,0.21604069470059792,0.3343406775082416,0.33382082924753176,0.011026519589862338,0.2769878697964976
0.25,2,0.1789881234272253,0.29451147007235257,0.29408882996406144,0.004997880489729156,0.18515812401158493
0.25,3,0.194181999404326,0.36418344599099467,0.3637157599600998,0.00979670907467911,0.3118616069573522
0.25,4,0.19649070235035201,0.33364267019547095,0.33294935761625044,0.008847581321975162,0.2684228704155449
0.25,5,0.3215879623302037,0.1494594176748991,0.14917497299459395,0.005846255544503687,0.062215692155533686
0.25,6,0.18281477492231407,0.37157448728219855,0.37105535426585434,0.008565640785489603,0.3125870437959628
0.25,7,0.16519273474137694,0.3478309752343118,0.346989330391377,0.006469481664855836,0.27154136619590563
0.25,8,0.19684112316713148,0.2738780769177538,0.2732941575135751,0.006022476711132763,0.1654407532219332
0.25,9,0.24387742993546727,0.24612824456810448,0.245797978747969,0.007164957214104151,0.14241825896572524
0.25,10,0.21309693760586043,0.2392376839711594,0.23877046094269264,0.005481238846475112,0.13189535845676936
0.25,11,0.221275325092545,0.2373341655375924,0.23659998996236634,0.005504999707334091,0.12931064955486848
0.35,0,0.3709819393499827,0.26080692420650214,0.26042463081238076,0.027226815821544736,0.2549718840591152
0.35,1,0.3146390268241206,0.2655935229547802,0.26498293755579577,0.018148387901063656,0.2272946080675876
0.35,2,0.30861703078517444,0.33223053279218867,0.3318125581614798,0.022930128972838637,0.3375409170869419
0.35,3,0.2949746158434643,0.3126955645336297,0.3120237684780982,0.019893743862910318,0.30374907286750275
0.35,4,0.34196479645632966,0.2783514241820858,0.27808723566718163,0.023064313259632874,0.2562230366188962
0.35,5,0.3691334103321886,0.15435298315321871,0.15399777555575375,0.009710152653670923,0.07960069673988857
0.35,6,0.29889996686560183,0.2853157869654974,0.2845447667509966,0.016655521176121568,0.23732314633694673
0.35,7,0.3384706592856122,0.20081649190367767,0.20035274040185688,0.012007048235991968,0.1255225198519193
0.35,8,0.2592662162026739,0.2807499808133178,0.2803253211753747,0.012784625027419616,0.21829943481137226
0.35,9,0.2241677529075512,0.3736137599098375,0.37304433665997017,0.014468166705151053,0.36968721801771653
0.35,10,0.3305815316626317,0.18146462882758538,0.18109330250067154,0.009594214528925504,0.10019013064699256
0.35,11,0.3127233602088529,0.35551706571304253,0.35465707804898633,0.029289274831469703,0.4156272853425761
0.45,0,0.36005081699702085,0.2988953753387648,0.29832830602939925,0.028404571085439034,0.3237408122794009
0.45,1,0.3741807011683455,0.32964494916669024,0.3289053277934169,0.04305187488705331,0.44038599604742024
0.45,2,0.37427056638686285,0.31314320736436535,0.31234835450817944,0.034696946935782624,0.37197692448851916
0.45,3,0.4007017501071324,0.20258751875147274,0.20215510337106257,0.021216393467531125,0.16744101227114572
0.45,4,0.47500713294237795,0.16881330889237264,0.16846939928203364,0.029969911411255823,0.1584236325389795
0.45,5,0.3309846850564747,0.30061725843103154,0.3002420035965876,0.025409331849924888,0.31235402672207957
0.45,6,0.3814894212478355,0.22377761150691125,0.22339833620469726,0.02257578239234559,0.19818515531486214
0.45,7,0.38257265455035977,0.33162287426830184,0.33124473125403225,0.043131819660777615,0.4403142573482578
0.45,8,0.46555870985740405,0.2908766011306393,0.29040989817684243,0.056916963054875036,0.4248830496905257
0.45,9,0.317759408784195,0.3478384301816127,0.3469997804896488,0.030609393283485997,0.4237423090701068
0.45,10,0.38081465950009186,0.31261877720188685,0.3122240101756001,0.03830841413262476,0.38563947908564067
0.45,11,0.42420081271987464,0.19995644291269102,0.19953000311436786,0.025270747858634812,0.1692539761147197
0.6,0,0.5795052103172139,0.14831153835595057,0.147743874395613,0.046447386930850154,0.18108496756883374
0.6,1,0.4999459973092567,0.23629393541823682,0.23579760489790144,0.06711314864046547,0.38610391438155267
0.6,2,0.49440728841045734,0.26379331836295267,0.2631093189479803,0.06828362941549071,0.425271761584896
0.6,3,0.6396795630697917,0.22571270757162604,0.2251268532040541,0.10725034134814648,0.5786560225996011
0.6,4,0.5655711441141719,0.20252019531897633,0.2020724797740643,0.06062897465178274,0.3017465438757385
0.6,5,0.5329150534466578,0.20736510482274176,0.2067963838720548,0.05351448699140293,0.27782323639209094
0.6,6,0.5293993395104769,0.23642650243505695,0.23578525758225516,0.07580563468449986,0.4111368214519704
0.6,7,0.4487645510093925,0.2439832283823389,0.24332139713038894,0.04162113179082294,0.297977513321529
0.6,8,0.5368307586400435,0.2346280418177892,0.23389879705175715,0.06878696516529459,0.384958987701397
0.6,9,0.4902134810138197,0.25478084472314055,0.2542560083965304,0.054393727246024204,0.37822814906692814
0.6,10,0.5699195589584277,0.24183634046917366,0.24098188392524478,0.08781315282690905,0.4871098563545374
0.6,11,0.5770414631414686,0.18300243959019333,0.18279691364563333,0.06672228160860294,0.2833041376425026
0.75,0,0.47093652870854935,0.22009953516879507,0.2196332054877798,0.04808588716718576,0.3013141197296032
0.75,1,0.520397028678556,0.2416023881981574,0.24084398609235838,0.06859937143543293,0.415783640267253
0.75,2,0.5563465430737297,0.20235900119019437,0.2019273922659644,0.06100291555457937,0.31669495514641977
0.75,3,0.7304024030811603,0.19318200114841996,0.19263310864986416,0.0998981040451753,0.6971066987499015
0.75,4,0.6661483425651297,0.24513146058049223,0.24459792796312782,0.026130335799815496,0.7781426998329392
0.75,5,0.5169609883054467,0.2163637842853119,0.21590520282389541,0.06705134599896745,0.3535560194158798
0.75,6,0.548719267631877,0.1926108439968386,0.19228338305252268,0.06748522801171752,0.3129998758926962
0.75,7,0.562139607728802,0.20929842351535996,0.20857914466181074,0.07037347240303071,0.37627038116150424
0.75,8,0.5808123920830431,0.1944555401494889,0.1939588043582785,0.07245571696558539,0.3466362634496588
0.75,9,0.6300428683977121,0.17649438540334403,0.17598263722890783,0.09225607341535624,0.3477541257422052
0.75,10,0.433141659802113,0.30552147525138507,0.30489316576924635,0.055710457423085336,0.5038012891369134
0.75,11,0.5246136497903973,0.16463980869570724,0.16429861351073044,0.04193166550922489,0.19804467931851066
0.9,0,0.7859760955136624,0.16599894542560292,0.16571956482000638,0.08598776395072161,0.7872966763524387
0.9,1,0.6000670915589907,0.19607766766421192,0.19570616064350593,0.08700274424260157,0.42128466871292247
0.9,2,0.7298386827276852,0.15023013726456674,0.14985111068318452,0.11392278467881911,0.4552449338944966
0.9,3,0.6516438952284946,0.16347910052391898,0.16310260741705254,0.10065353791331055,0.35156763061102847
0.9,4,0.56532684090335,0.2547230544530246,0.2542208331517036,0.10424359191697696,0.5932928447140995
0.9,5,0.7074758062187367,0.13666056172153926,0.13631646999084102,0.11528674493242486,0.39661202274742813
0.9,6,0.6017283654725096,0.1562425084048794,0.15595853899410173,0.06753945012418527,0.27750728007401804
0.9,7,0.7869787851590745,0.15179157435794838,0.15143736954745887,0.10512908954669875,0.7100429635637078
0.9,8,0.5952294181912952,0.26843250177464967,0.2680122914970399,0.07935423020165744,0.6959977667976074
0.9,9,0.5672332800226098,0.2430765486816492,0.24259480143458095,0.09287294923502576,0.5233727176914122
0.9,10,0.7208757254782535,0.19007634806630833,0.18950436856668035,0.14355409867051028,0.6679654122219079
0.9,11,0.5826014032758484,0.2646527817335509,0.2640477750981284,0.09257520695509658,0.6478642554294782
