sigma,mkt,mis,S,ebar,regret_mcifi,regret_gamma
0.05,0,0.019908159461147948,0.08626522857148222,0.08598414176843563,4.13681662547738e-06,0.008163848213214031
0.05,1,0.018231514921814625,0.11705733137718795,0.11682867033054692,4.9944908195875826e-06,0.01569598008822981
0.05,2,0.022209180377944917,0.1563465612626278,0.15608076841582222,1.2879232718754352e-05,0.029892262873013054
0.05,3,0.018698849509872696,0.12094288887286954,0.12070682148938797,5.970008168487695e-06,0.016699230920968255
0.05,4,0.01962626408166328,0.11707847979566738,0.11674776926901469,6.394294933431688e-06,0.015943873130661035
0.05,5,0.01235869258347182,0.15139021833772837,0.15094365138156746,4.177892086287827e-06,0.02775511245459794
0.05,6,0.01741947344512799,0.1252957582626165,0.12504988643796758,5.80452184928415e-06,0.018755008166492337
0.05,7,0.014203991204768712,0.08944139399020644,0.08931705938951418,1.9274656458678763e-06,0.008832780136962537
0.05,8,0.021840688962889796,0.08597729352500623,0.08571671993820167,4.305422741990306e-06,0.008171155757248583
0.05,9,0.015514810326505504,0.12565000494876208,0.1251514590595311,4.882704674136207e-06,0.01839109135460859
0.05,10,0.02239316228817577,0.06625756001858048,0.06608066527287139,2.478820988915942e-06,0.00475408033634972
0.05,11,0.016164036263291003,0.14422718053023462,0.14394565048078087,5.676064446458184e-06,0.024800365354121334
0.05,12,0.015085416734544879,0.15188584421864218,0.15140079217709299,6.401906336273022e-06,0.027947856159010964
0.05,13,0.018311787419772872,0.10728631894545146,0.10695616287060289,4.383440018518314e-06,0.013076372736917974
0.05,14,0.02498921804021356,0.155511962903984,0.15519992416915,1.782960993523819e-05,0.029763188814412755
0.05,15,0.01348396726869634,0.1035393849318143,0.10343520263998641,2.323093988509939e-06,0.01210310311156626
0.3,0,0.353359486795738,0.09484755025530593,0.09460988199131279,0.002911540014144287,0.024406233243075004
0.3,1,0.2977790935094658,0.11355374206296774,0.11315147562976967,0.0027065049171981492,0.03169890482963755
0.3,2,0.32434486888229563,0.13233206933351266,0.1320100662938959,0.004219930963507479,0.04439091734335043
0.3,3,0.39204657158057427,0.1250593473160233,0.1249586241990123,0.007878900269225442,0.055327414298734445
0.3,4,0.3671319175792303,0.07313433064236621,0.07288126422487974,0.0019340517585195727,0.015089062933511976
0.3,5,0.3500899318399104,0.15247534717837677,0.1522965220882409,0.007934802648635442,0.07064954934653689
0.3,6,0.4290630662405359,0.061350748170884276,0.06126238410374847,0.002098265932847676,0.012063088129103838
0.3,7,0.3728369156502202,0.08700174129376771,0.08686631060823599,0.002712100705984488,0.021362572965569204
0.3,8,0.32943230596368833,0.06708906651546656,0.06688279964040343,0.0010978098043135098,0.01073717976600097
0.3,9,0.3337083618359966,0.138308531336186,0.13801682916554414,0.005826180080460208,0.055606325027384385
