phi,day,mu,gamma_star,m_star,t_fi_ms,t_gamma_ms,n,fi_below_c,gamma_feasible,unif_feasible,gap_unif,unif_below_c,pi_fi,R_fi,pi_g,R_g,pi_u,R_u,p_unc,R_unc,p_lerner,R_lerner,gap_gamma,gamma_below_c,min_eta_g
1.15,1,0.7298656748761263,,0.027756951488258574,1.7371249996358529,1.5345409919973463,311,1,False,True,89.6244988763572,0,6.633561218990561,0.9999999999913749,,,0.6882652188138989,1.0,8.910566800143112,0.712021282018221,8.224842080121977,0.7952491488170149,,,
1.15,2,0.4721187302611948,-0.28787590569656885,0.20507439787051424,1.2217080075060949,4.935749995638616,305,0,True,True,12.681283376793774,0,2.465047727499646,1.000000001346582,2.369750695253481,1.0,2.152448039802201,0.9999999999999997,3.234268838010429,0.6757655183802445,3.194808598865533,0.732076484013267,3.8659305125433496,2.0,1.198088017417559
1.15,3,0.5093768798067779,-0.27605675088405246,0.20150349811327722,1.4251249958761036,5.69583399919793,316,0,True,True,13.512142934640544,0,3.109259404736448,0.9999999999991023,2.912828984599314,0.9999999999999999,2.6891318297597055,0.9999999999999999,4.142018956820713,0.6764746691747352,4.062528323392146,0.7468511321036319,6.3175951108455175,0.0,1.1988171154419043
1.15,4,0.491066668859282,-0.2709588294911648,0.20421522239993012,1.387666998198256,5.636457994114608,312,0,True,True,12.36993925343613,0,2.873052981006935,0.9999999999999469,2.7129704731581707,1.0,2.5176580725373414,1.0,3.793184158678421,0.6778565563060478,3.7250195745684334,0.7471518813338978,5.5718606272502305,0.0,1.19857440237797
1.15,5,0.5875930479640071,-0.32236963745870784,0.19171165494248948,1.471832991228439,5.032959001255222,319,3,True,True,14.865368704774022,0,3.0134224404511385,0.9999999998911007,2.7588188996442575,0.9999999999999999,2.5654660840456773,0.9999999999999999,4.216703338785316,0.6690749238587128,4.1333078424412895,0.736998652070298,8.448982704488136,5.0,1.1991053937799119
1.15,6,0.5617414578991888,-0.311942712573562,0.19680770841117284,1.5474169922526926,5.488125010742806,322,2,True,True,12.648408219101128,0,3.0519801972453005,0.999999999979545,2.851130658235485,1.0,2.665953283131587,1.0000000000000002,4.226870935448911,0.668507066309953,4.155692662206833,0.7357092378290385,6.580958133054104,4.0,1.1997276638777865
1.15,7,0.6981842313196364,-0.36886248338332817,0.17174289425482042,1.5163329953793436,6.114582996815443,335,8,True,True,24.293257494156133,0,3.692113608940823,1.0000000000672307,3.125952631365608,0.9999999999999998,2.795178942944048,0.9999999999999998,5.389518744119913,0.6686120666484171,5.245631960690749,0.7436915695890572,15.334332513609535,13.0,1.198471337587046
1.15,8,0.9885180255866066,-0.6117643124945256,0.08482540714398895,2.053667005384341,8.226957987062633,337,15,True,True,62.80583194138439,0,5.227447345327774,1.0000000000000249,1.088217374225049,0.9999999999999999,1.9443055507968523,1.0000000000000002,8.309057798263458,0.6759541546171728,7.896589279881864,0.7642585971662538,79.18262390155525,119.0,1.1956079163320477
1.15,9,0.7049664515903085,-0.37969221585865276,0.17411641069600187,1.6322500014211982,6.060832994990051,332,9,True,True,24.457513751659004,0,3.413421648693584,1.0000000000421283,3.032785936788339,0.9999999999999998,2.5785835795622454,1.0,5.001882163613113,0.6646503244253761,4.900382266793564,0.7335779746507473,11.151148351418163,15.0,1.1973190757785142
1.15,10,0.5155090887920142,-0.37307895195631524,0.20064900219649145,1.240832993062213,4.453457993804477,324,6,True,True,12.619722043932327,0,1.888320486644339,1.0000000000021776,1.8588725849606473,0.9999999999999998,1.6500196899311932,0.9999999999999996,2.591974358836123,0.6582956251279595,2.5813675783802776,0.6928692253966303,1.5594758353769933,13.0,1.1996975717568423
1.15,11,0.47742350293564967,-0.3466706848307338,0.20444672112478152,1.1500840046210214,4.391750000650063,323,5,True,True,13.00240878995484,0,2.008704078836422,1.0,1.982079103446689,1.0,1.7475241631256138,0.9999999999999998,2.677644013242423,0.6644175172138215,2.6669377328951236,0.7003275996885021,1.3254802272894364,4.0,1.1996665082555689
1.15,12,0.5554481315457686,-0.36703819762847123,0.19689510869339127,1.4932499907445163,5.187625007238239,331,8,True,True,13.242453736527716,0,2.314310915216997,1.0000000000000002,2.256586274916616,1.0,2.007839362949975,1.0000000000000002,3.234151655911624,0.6595586118217573,3.212489054208219,0.7046445133436977,2.494247420293941,14.0,1.1997591118533284
